F1,F2,Class,F3,F4
12.68541757,-69.47503147,Tumor,BT_S2,Neoplastic
8.565597523,-62.34812552,Tumor,BT_S2,Neoplastic
-9.80738635,-47.54671774,Tumor,BT_S2,Neoplastic
37.24240482,44.87293992,Tumor,BT_S2,Immune
7.644242818,-69.75295796,Tumor,BT_S2,Neoplastic
11.22990979,-68.7025015,Tumor,BT_S2,Neoplastic
-2.042939045,-49.80077013,Tumor,BT_S2,Neoplastic
17.76856168,-70.95968565,Tumor,BT_S2,Neoplastic
-0.920603613,-50.1541289,Tumor,BT_S2,Neoplastic
-6.530920895,-38.00079588,Tumor,BT_S2,Neoplastic
-5.640141548,-46.46477039,Tumor,BT_S2,Neoplastic
16.01306106,-66.97875289,Tumor,BT_S2,Neoplastic
-5.831914395,-49.13581686,Tumor,BT_S2,Neoplastic
0.041043385,-53.22212919,Tumor,BT_S2,Neoplastic
7.866061418,-63.73921738,Tumor,BT_S2,Neoplastic
31.80851359,26.55707645,Tumor,BT_S2,Immune
17.27426054,-70.72020556,Tumor,BT_S2,Neoplastic
-11.5783713,-51.0605601,Tumor,BT_S2,Neoplastic
-4.134919313,-47.7383701,Tumor,BT_S2,Neoplastic
14.50950599,-73.966514,Tumor,BT_S2,Neoplastic
-1.755865242,-51.86169062,Tumor,BT_S2,Neoplastic
-9.320533708,-56.81172286,Tumor,BT_S2,Neoplastic
8.532627629,-71.37009656,Tumor,BT_S2,Neoplastic
17.9049181,-66.8924247,Tumor,BT_S2,Neoplastic
-10.58304194,-57.90064916,Tumor,BT_S2,Neoplastic
4.830990872,-58.24978559,Tumor,BT_S2,Neoplastic
9.283062456,-70.78744795,Tumor,BT_S2,Neoplastic
-3.538884399,-56.19958942,Tumor,BT_S2,Neoplastic
12.35124386,-65.34925546,Tumor,BT_S2,Neoplastic
-3.294671449,-49.7412158,Tumor,BT_S2,Neoplastic
-5.327347426,-56.23789219,Tumor,BT_S2,Neoplastic
16.12738266,-70.15245427,Tumor,BT_S2,Neoplastic
15.43796911,-62.9534773,Tumor,BT_S2,Neoplastic
3.669135779,-62.57194841,Tumor,BT_S2,Neoplastic
-6.90798089,-61.47103868,Tumor,BT_S2,Neoplastic
16.92799681,-68.1723394,Tumor,BT_S2,Neoplastic
3.12854936,-66.05463335,Tumor,BT_S2,Neoplastic
-10.10251189,-48.85848775,Tumor,BT_S2,Neoplastic
-14.13848674,-48.46364015,Tumor,BT_S2,Neoplastic
8.52727103,-73.28048006,Tumor,BT_S2,Neoplastic
18.18462958,-69.45416526,Tumor,BT_S2,Neoplastic
-4.995545906,-50.48053832,Tumor,BT_S2,Neoplastic
-1.893983252,-52.87338007,Tumor,BT_S2,Neoplastic
-11.15418057,-54.0422574,Tumor,BT_S2,Neoplastic
18.54418907,-67.46786194,Tumor,BT_S2,Neoplastic
-22.89568089,-3.556030649,Tumor,BT_S2,Immune
-1.730696227,-54.53656059,Tumor,BT_S2,Neoplastic
8.49536072,-72.69433764,Tumor,BT_S2,Neoplastic
-8.06839006,-49.30041916,Tumor,BT_S2,Neoplastic
13.05816063,-70.71153793,Tumor,BT_S2,Neoplastic
15.33842049,-62.54452879,Tumor,BT_S2,Neoplastic
-45.52727554,-14.20100257,Tumor,BT_S2,Neuron
-9.156685981,-50.45633172,Tumor,BT_S2,Neoplastic
17.63228349,-70.26756761,Tumor,BT_S2,Neoplastic
11.75674486,-61.82392612,Tumor,BT_S2,Neoplastic
19.53795442,-73.26840467,Tumor,BT_S2,Neoplastic
13.99702684,-67.93198946,Tumor,BT_S2,Neoplastic
17.80341727,-64.38722818,Tumor,BT_S2,Neoplastic
-5.257234342,-49.48722751,Tumor,BT_S2,Neoplastic
-6.210810266,-55.6907163,Tumor,BT_S2,Neoplastic
-10.36048359,-52.58267004,Tumor,BT_S2,Neoplastic
-2.167704198,-62.25359797,Tumor,BT_S2,Neoplastic
0.128079546,-66.55012252,Tumor,BT_S2,Neoplastic
-2.516226458,-51.14612363,Tumor,BT_S2,Neoplastic
-0.619641626,-57.66907045,Tumor,BT_S2,Neoplastic
-0.131766189,-53.24620946,Tumor,BT_S2,Neoplastic
1.645838833,-50.45588775,Tumor,BT_S2,Neoplastic
12.29390581,-69.41497204,Tumor,BT_S2,Neoplastic
19.5324752,-66.77435637,Tumor,BT_S2,Neoplastic
2.254771178,-54.98509518,Tumor,BT_S2,Neoplastic
46.71598287,-46.09844377,Tumor,BT_S2,Vascular
-10.32935576,-51.97737471,Tumor,BT_S2,Neoplastic
0.049166314,-54.42257883,Tumor,BT_S2,Neoplastic
8.990235765,-70.89485187,Tumor,BT_S2,Neoplastic
4.139764109,42.06255938,Tumor,BT_S2,Immune
-37.55513417,36.93942357,Tumor,BT_S2,opc
-3.386096892,-51.41273173,Tumor,BT_S2,Neoplastic
-5.232056637,-51.20669834,Tumor,BT_S2,Neoplastic
16.13512404,-67.08090075,Tumor,BT_S2,Neoplastic
18.83765448,-71.7447083,Tumor,BT_S2,Neoplastic
-5.408911519,-51.4005868,Tumor,BT_S2,Neoplastic
-11.26247968,-47.34993589,Tumor,BT_S2,Neoplastic
17.89794118,41.02292331,Tumor,BT_S2,Immune
7.101517596,-53.71688927,Tumor,BT_S2,Neoplastic
17.75523817,-68.24484309,Tumor,BT_S2,Neoplastic
7.494627775,-64.50953506,Tumor,BT_S2,Neoplastic
-6.971556453,-59.96816776,Tumor,BT_S2,Neoplastic
-20.65940725,4.756652129,Tumor,BT_S2,Immune
16.03217566,-70.66294991,Tumor,BT_S2,Neoplastic
9.683113061,17.2137964,Tumor,BT_S2,Immune
-11.78083521,-49.02072,Tumor,BT_S2,Neoplastic
9.962834158,30.19870679,Tumor,BT_S2,Immune
-68.85180462,-6.670774183,Tumor,BT_S2,Oligodendrocyte
-1.059548578,25.58083605,Tumor,BT_S2,Immune
5.782097475,-68.58563719,Tumor,BT_S2,Neoplastic
-6.481618944,-52.93098988,Tumor,BT_S2,Neoplastic
